Gene Symbol	Gene ID	Number of occurrences	Features	HPO IDs	HPO Match Score
ABCC9	ENSG00000069431	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
ACTA1	ENSG00000143632	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ACTC1	ENSG00000159251	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
ADA	ENSG00000196839	1	Recurrent viral infections (0.85)	HP:0004429	0.85
ADAM17	ENSG00000151694	2	Generalized abnormality of skin (0.7); Abnormal skin morphology (0.55)	HP:0011354; HP:0011121	0.7; 0.55
ADGRE2	ENSG00000127507	1	Flushing (0.85)	HP:0031284	0.85
AFF4	ENSG00000072364	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
AGGF1	ENSG00000164252	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
AHSG	ENSG00000145192	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ALAD	ENSG00000148218	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
ALDH2	ENSG00000111275	1	Facial flushing after alcohol intake (1.0)	HP:0001033	1.0
ALG11	ENSG00000253710	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ALG8	ENSG00000159063	2	Abnormal skin morphology (0.55); Abnormal heart valve morphology (0.55)	HP:0011121; HP:0001654	0.55; 0.55
ANAPC1	ENSG00000153107	1	Bone fracture (0.7)	HP:0020110	0.7
ANKRD11	ENSG00000167522	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
APC2	ENSG00000115266	1	Flushing (0.85)	HP:0031284	0.85
ARF1	ENSG00000143761	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
ARFGEF2	ENSG00000124198	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
ARPC5	ENSG00000162704	1	Recurrent viral infections (0.85)	HP:0004429	0.85
ARX	ENSG00000004848	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
ASAH1	ENSG00000104763	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
ASXL1	ENSG00000171456	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
ATP1A2	ENSG00000018625	1	Flushing (0.85)	HP:0031284	0.85
ATP1A3	ENSG00000105409	1	Flushing (0.85)	HP:0031284	0.85
ATRX	ENSG00000085224	1	Flushing (0.85)	HP:0031284	0.85
B2M	ENSG00000166710	1	Cardiovascular calcification (0.55)	HP:0011915	0.55
BICD2	ENSG00000185963	1	Femur fracture (0.39)	HP:0031846	0.39
BIN1	ENSG00000136717	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
BMPR1B	ENSG00000138696	1	Abnormal morphology of the radius (0.85)	HP:0002818	0.85
BRAF	ENSG00000157764	3	Flushing (0.85); Abnormal mitral valve morphology (0.7); Abnormal heart valve morphology (0.55)	HP:0031284; HP:0001633; HP:0001654	0.85; 0.7; 0.55
BTD	ENSG00000169814	1	Recurrent viral infections (0.85)	HP:0004429	0.85
BTNL2	ENSG00000229597	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
CACNA1A	ENSG00000141837	1	Flushing (0.85)	HP:0031284	0.85
CASZ1	ENSG00000130940	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
CBL	ENSG00000110395	2	Flushing (0.85); Abnormal skin morphology (0.55)	HP:0031284; HP:0011121	0.85; 0.55
CBS	ENSG00000160200	1	Flushing (0.85)	HP:0031284	0.85
CCDC22	ENSG00000101997	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
CD8A	ENSG00000153563	1	Recurrent viral infections (0.85)	HP:0004429	0.85
CDH23	ENSG00000107736	1	Flushing (0.85)	HP:0031284	0.85
CDKL5	ENSG00000008086	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
CDKN2A	ENSG00000147889	1	Abnormality of urine homeostasis (0.7)	HP:0003110	0.7
CHRNG	ENSG00000196811	1	Abnormal skeletal morphology (0.55)	HP:0011842	0.55
CHST14	ENSG00000169105	1	Abnormal heart valve morphology (0.55)	HP:0001654	0.55
CIITA	ENSG00000179583	1	Recurrent viral infections (0.85)	HP:0004429	0.85
CITED2	ENSG00000164442	1	Abnormal mitral valve morphology (0.7)	HP:0001633	0.7
CLIC2	ENSG00000155962	1	Abnormal atrioventricular valve morphology (0.55)	HP:0006705	0.55
CLPB	ENSG00000162129	1	Recurrent viral infections (0.85)	HP:0004429	0.85
CNPY3	ENSG00000137161	1	Abnormal skin morphology (0.55)	HP:0011121	0.55
